kysimus,kood,vastus,vastus_lyhike,
K37_rahulolu_garderoobiga,1,Ei ole üldse rahul,Väga rahuolematu,
K37_rahulolu_garderoobiga,2,2 - puudu,Kergelt rahuolematu,
K37_rahulolu_garderoobiga,3,3 - puudu,Osaliselt rahul,
K37_rahulolu_garderoobiga,4,4 - puudu,Üsna rahul,
K37_rahulolu_garderoobiga,5,Väga rahul,Väga rahul,
K38_kandmise_kestus,1,"Mu garderoobis on pikaealised riided, mida hooldan ja kannan aastaid",,
K38_kandmise_kestus,2,"Peamiselt kannan riideid aastaid, aga üksikutest esemetest loobun kiiremini (näiteks erilisemad peoriided või kiiresti kuluvad esemed)",,
K38_kandmise_kestus,3,"Nii ja naa, mulle meeldib iga aasta oma garderoobi natuke värskendada",,
K38_kandmise_kestus,4,Käin kaasas hooajaliste moodidega ning garderoob vahetub regulaarselt,,
K38_kandmise_kestus,5,Muu,,
K40_ostmissagedus,1,Igapäevaselt,Igapäevaselt,
K40_ostmissagedus,2,Kord nädalas,Kord nädalas,
K40_ostmissagedus,3,Kord kuus,Kord kuus,
K40_ostmissagedus,4,Kord kvartalis,Kord kvartalis,
K40_ostmissagedus,5,Kord aastas,Kord aastas,
K40_ostmissagedus,6,Harvem,Harvem,
K41_ultrakiirmoe_ostmine,1,Ei ole üldse ostnud,Mitte kunagi,
K41_ultrakiirmoe_ostmine,2,2 - puudu,Harva,
K41_ultrakiirmoe_ostmine,3,3 - puudu,Mõnikord,
K41_ultrakiirmoe_ostmine,4,4 - puudu,Sageli,
K41_ultrakiirmoe_ostmine,5,Ostan valdavalt oma riided neist poodidest,Väga sageli,
K43_roivaste_tellimine_proovimiseks,1,Ei ole seda kordagi teinud,Mitte kunagi,
K43_roivaste_tellimine_proovimiseks,2,2 - puudu,Harva,
K43_roivaste_tellimine_proovimiseks,3,3 - puudu,Mõnikord,
K43_roivaste_tellimine_proovimiseks,4,4 - puudu,Sageli,
K43_roivaste_tellimine_proovimiseks,5,Teen seda väga sageli,Väga sageli,
